"","1","吧","吧","ba","particle indicating polite suggestion; | onomatopoeia | bar (serving drinks, providing internet access, etc.)",""
"","2","白","白","bái","white; snowy; pure; bright; empty (Kangxi radical 106)",""
"","3","百","百","bǎi","hundred",""
"","4","帮助","幫助","bāng zhù","help; assist; aid",""
"","5","报纸","報紙","bào zhǐ","newspaper",""
"","6","比","比","bǐ","compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks",""
"","7","别","別","bié","don't do something; don't | depart; | other; difference; distinguish",""
"","8","宾馆","賓館","bīn guǎn","guesthouse; hotel",""
"","9","长","長","cháng | zhǎng","long; length | grow; chief (Kangxi radical 168)",""
"","10","唱歌","唱歌","chàng gē","sing (a song)",""
"","11","出","出","chū","go out; occur",""
"","12","穿","穿","chuān","to wear; put on; penetrate",""
"","13","次","次","cì","(mw for number of times of occurrence); nth; order",""
"","14","从","從","cóng","from; obey; observe",""
"","15","错","錯","cuò","mistake; error; blunder; miss an opportunity",""
"","16","打篮球","打籃球","dǎ lán qiú","play basketball",""
"","17","大家","大家","dà jiā","everyone",""
"","18","到","到","dào","arrive (at a place); until (a time)",""
"","19","得","得","de","(complement particle)",""
"","20","等","等","děng","to wait; rank; equal; etc.",""
"","21","弟弟","弟弟","dì di","younger brother",""
"","22","第一","第一","dì yī","first; number 1",""
"","23","懂","懂","dǒng","understand; know",""
"","24","对","對","duì","correct; a pair; to face; be opposite; to; towards",""
"","25","房间","房間","fáng jiān","room",""
"","26","非常","非常","fēi cháng","extremely; extraordinary; very",""
"","27","服务员","服務員","fú wù yuán","waiter/waitress; server; attendant",""
"","28","高","高","gāo","high; tall (Kangxi radical 189)",""
"","29","告诉","告訴","gào su","to tell; inform",""
"","30","哥哥","哥哥","gē ge","older brother",""
"","31","给","給","gěi","to give; to grant; (passive particle)",""
"","32","公共汽车","公共汽車","gōng gòng qì chē","(public) bus",""
"","33","公司","公司","gōng sī","company; corporation",""
"","34","贵","貴","guì","expensive; noble; honorable; Guizhou province (abbreviation)",""
"","35","过","過","guò","to pass; to cross; go over; (indicates a past experience)",""
"","36","还","還","hái","still; yet; in addition; even",""
"","37","孩子","孩子","hái zi","child; children; son or daughter",""
"","38","好吃","好吃","hǎo chī","tasty",""
"","39","黑","黑","hēi","black; dark (Kangxi radical 203); Heilongjiang province (abbreviation)",""
"","40","红","紅","hóng","red; symbol of success; bonus; popular",""
"","41","火车站","火車站","huǒ chē zhàn","train station",""
"","42","机场","機場","jī chǎng","airport; airfield",""
"","43","鸡蛋","雞蛋","jī dàn","(chicken) egg",""
"","44","件","件","jiàn","(mw for things, clothes, and items)",""
"","45","教室","教室","jiào shì","classroom",""
"","46","姐姐","姐姐","jiě jie","older sister",""
"","47","介绍","介紹","jiè shào","to introduce; recommend; introduction",""
"","48","进","進","jìn","enter; come in",""
