"","1","阿姨","阿姨","ā yí","auntie; step-mother; mother's younger sister",""
"","2","啊","啊","a","ah; (particle showing elation, doubt, puzzled surprise, or approval)",""
"","3","矮","矮","ǎi","short; low",""
"","4","爱好","愛好","ài hào","hobby; fond of; to like; interest",""
"","5","安静","安靜","ān jìng","quiet; peaceful; calm",""
"","6","把","把","bǎ","(mw for things with handles); (pretransitive particle); to hold",""
"","7","班","班","bān","team; class; squad",""
"","8","搬","搬","bān","to move; to transport",""
"","9","办法","辦法","bàn fǎ","method; way (of doing something)",""
"","10","办公室","辦公室","bàn gōng shì","office",""
"","11","半","半","bàn","half; semi-; incomplete",""
"","12","帮忙","幫忙","bāng máng","to help",""
"","13","包","包","bāo","to cover; to wrap; to hold; include; (mw for containers, packages, etc.)",""
"","14","饱","飽","bǎo","eat until full; satisfied",""
"","15","北方","北方","běi fāng","north; the northern part of the country",""
"","16","被","被","bèi","by (indicates passive voice sentences); a quilt/blanket",""
"","17","鼻子","鼻子","bí zi","nose",""
"","18","比较","比較","bǐ jiào","compare; contrast; relatively",""
"","19","比赛","比賽","bǐ sài","(sports) match; competition",""
"","20","笔记本","筆記本","bǐ jì běn","notebook",""
"","21","必须","必須","bì xū","must; have to",""
"","22","变化","變化","biàn huà","change",""
"","23","别人","別人","bié ren","other people; others",""
"","24","冰箱","冰箱","bīng xiāng","refrigerator",""
"","25","不但","不但","bú dàn","not only",""
"","26","而且","而且","ér qiě","moreover; in addition; as well as",""
"","27","菜单","菜單","cài dān","menu",""
"","28","参加","參加","cān jiā","participate; join; take part in",""
"","29","草","草","cǎo","grass; straw; draft (of a document)",""
"","30","层","層","céng","(mw for layers, floors of buildings)",""
"","31","差","差","chà","differ from; fall short of; poor; inferior",""
"","32","超市","超市","chāo shì","supermarket",""
"","33","衬衫","襯衫","chèn shān","shirt; blouse",""
"","34","成绩","成績","chéng jì","achievement; success; results (of work or study)",""
"","35","城市","城市","chéng shì","city or town",""
"","36","迟到","遲到","chí dào","arrive late",""
"","37","除了","除了","chú le","besides; except for; aside from; in addition to",""
"","38","船","船","chuán","a boat; vessel; ship",""
"","39","春","春","chūn","spring (season); joyful",""
"","40","词典","詞典","cí diǎn","dictionary",""
"","41","聪明","聰明","cōng ming","intelligent; clever; bright; smart",""
"","42","打扫","打掃","dǎ sǎo","to clean; to sweep",""
"","43","打算","打算","dǎ suàn","to plan; intend",""
"","44","带","帶","dài","band; belt; ribbon; carry; bring; take along; bring up (kids)",""
"","45","担心","擔心","dān xīn","to worry; feel anxious",""
"","46","蛋糕","蛋糕","dàn gāo","cake",""
"","47","当然","當然","dāng rán","of course; naturally",""
"","48","地","地","dì | de","earth; ground | (adverbial particle)",""
"","49","灯","燈","dēng","lamp; light",""
"","50","地方","地方","dì fang","place; space; room; part, (fāng: local; regional)",""
"","51","地铁","地鐵","dì tiě","subway",""
"","52","地图","地圖","dì tú","map",""
"","53","电梯","電梯","diàn tī","elevator",""
"","54","电子邮件","電子郵件","diàn zǐ yóu jiàn","email",""
"","55","东","東","dōng","East",""
"","56","冬","冬","dōng","winter",""
"","57","动物","動物","dòng wù","animal",""
"","58","短","短","duǎn","short (in length, duration, or height); lack",""
"","59","段","段","duàn","paragraph; segment; section",""
"","60","锻炼","鍛煉","duàn liàn","to exercise; work out; toughen; to temper",""
"","61","多么","多麼","duō me","how (wonderful, etc.); what (a great idea)",""
"","62","饿","餓","è","hungry",""
"","63","耳朵","耳朵","ěr duo","ear",""
"","64","发","發","fā | fà","send out; to issue; to show (one's feelings) | hair",""
"","65","发烧","發燒","fā shāo","have a fever",""
"","66","发现","發現","fā xiàn","discover; to find",""
"","67","方便","方便","fāng biàn","convenient",""
"","68","放","放","fàng","put; to place; to release; to free",""
"","69","放心","放心","fàng xīn","relax; feel relieved; rest assured",""
"","70","分","分","fēn | fèn","divide; part; minute; cent | component; share; ingredient",""
"","71","附近","附近","fù jìn","(in the) vicinity; nearby; neighboring",""
"","72","复习","復習","fù xí","revise; to review",""
"","73","干净","干淨","gān jìng","clean; neat and tidy",""
"","74","感冒","感冒","gǎn mào","catch cold; (common) cold",""
"","75","感兴趣","感興趣","gǎn xìng qù","be interested in",""
"","76","刚才","剛才","gāng cái","just now; a moment ago",""
"","77","个子","個子","gè zi","height; stature; build",""
"","78","根据","根據","gēn jù","according to; based on; basis",""
"","79","跟","跟","gēn","to follow; go with; heel",""
"","80","更","更","gèng","more; even more",""
"","81","公斤","公斤","gōng jīn","kilogram",""
"","82","公园","公園","gōng yuán","public park",""
"","83","故事","故事","gù shi","story; tale",""
"","84","刮风","刮風","guā fēng","windy; to blow (wind)",""
"","85","关","關","guān","to close; shut; concern; relationship; turn off; mountain pass",""
"","86","关系","關系","guān xi","relation; to concern",""
"","87","关心","關心","guān xīn","concerned about/with",""
"","88","关于","關於","guān yú","about; regarding; concerning",""
"","89","国家","國家","guó jiā","country; state; nation",""
"","90","过","過","guò","to pass; to cross; go over; (indicates a past experience)",""
"","91","过去","過去","guò qù","in the past; formerly",""
"","92","还是","還是","hái shi","or; still; nevertheless; had better",""
"","93","害怕","害怕","hài pà","afraid of; to fear",""
"","94","黑板","黑板","hēi bǎn","blackboard",""
"","95","后来","后來","hòu lái","afterwards; after; later",""
"","96","护照","護照","hù zhào","passport",""
"","97","花","花","huā","flower; blossom; spend money; cost",""
"","98","画","畫","huà","draw; picture; painting",""
"","99","坏","壞","huài","bad; broken",""
"","100","欢迎","歡迎","huān yíng","to welcome; greet",""
"","101","还","還","hái","still; yet; in addition; even",""
"","102","环境","環境","huán jìng","environment; surroundings",""
"","103","换","換","huàn","change; to exchange; to barter; to trade",""
"","104","黄河","黃河","huáng hé","Yellow River",""
"","105","回答","回答","huí dá","to reply; to answer",""
"","106","会议","會議","huì yì","meeting; conference",""
"","107","或者","或者","huò zhě","or; possible; maybe; perhaps",""
"","108","几乎","幾乎","jī hū","almost",""
"","109","机会","機會","jī huì","opportunity; chance; occasion",""
"","110","极","極","jí","an extreme; pole; very",""
"","111","记得","記得","jì de","remember",""
"","112","季节","季節","jì jié","season; time; period",""
