"","1","爱","愛","ài","love",""
"","2","八","八","bā","eight",""
"","3","爸爸","爸爸","bà ba","Dad",""
"","4","杯子","杯子","bēi zi","cup; glass",""
"","5","北京","北京","běi jīng","Beijing",""
"","6","本","本","běn","measure word for books",""
"","7","不客气","不客氣","bú kè qi","you're welcome; don't be polite",""
"","8","不","不","bù","no; not",""
"","9","菜","菜","cài","dish (type of food); vegetables",""
"","10","茶","茶","chá","tea",""
"","11","吃","吃","chī","eat",""
"","12","出租车","出租車","chū zū chē","taxi; cab",""
"","13","打电话","打電話","dǎ diàn huà","make a phone call",""
"","14","大","大","dà","big; large",""
"","15","的","的","de","indicates possession, like adding 's to a noun",""
"","16","点","點","diǎn","a dot; a little; o'clock",""
"","17","电脑","電腦","diàn nǎo","computer",""
"","18","电视","電視","diàn shì","television; TV",""
"","19","电影","電影","diàn yǐng","movie; film",""
"","20","东西","東西","dōng xi","things; stuff",""
"","21","都","都","dōu","all; both",""
"","22","读","讀","dú","to read; to study",""
"","23","对不起","對不起","duì bu qǐ","sorry",""
"","24","多","多","duō","many",""
"","25","多少","多少","duō shao","how much?; how many?",""
"","26","儿子","兒子","ér zi","son",""
"","27","二","二","èr","two",""
"","28","饭店","飯店","fàn diàn","restaurant; hotel",""
"","29","飞机","飛機","fēi jī","airplane",""
"","30","分钟","分鐘","fēn zhōng","minute; (measure word for time)",""
"","31","高兴","高興","gāo xìng","happy; glad",""
"","32","个","個","ge","general measure word",""
"","33","工作","工作","gōng zuò","work; a job",""
"","34","狗","狗","gǒu","dog",""
"","35","汉语","漢語","hàn yǔ","Chinese language",""
"","36","好","好","hǎo","good",""
"","37","号","號","hào","number; day of a month",""
"","38","喝","喝","hē","to drink",""
"","39","和","和","hé","and; with",""
"","40","很","很","hěn","very; quite",""
"","41","后面","后面","hòu mian","back; behind",""
"","42","回","回","huí","to return; to reply; to go back",""
"","43","会","會","huì","know how to",""
"","44","几","幾","jǐ","how many; several; a few",""
"","45","家","家","jiā","family; home",""
"","46","叫","叫","jiào","to be called",""
"","47","今天","今天","jīn tiān","today",""
"","48","九","九","jiǔ","nine",""
"","49","开","開","kāi","to open; to start; to operate (a vehicle)",""
"","50","看","看","kàn","see; look at; to watch",""
"","51","看见","看見","kàn jiàn","see; catch sight of",""
"","52","块","塊","kuài","lump; piece; sum of money",""
"","53","来","來","lái","come; arrive; ever since; next",""
"","54","老师","老師","lǎo shī","teacher",""
"","55","了","了","le","indicates a completed or finished action",""
"","56","冷","冷","lěng","cold",""
"","57","里","裡","lǐ","inside; Chinese mile (~.5 km)",""
