"","1","哎","哎","āi","hey!; (interjection of surprise or dissatisfaction)",""
"","2","唉","唉","ài","(an exclamation indicating resignation); oh well; oh; mm",""
"","3","爱护","愛護","ài hù","cherish; reassure; take good care of",""
"","4","爱惜","愛惜","ài xī","cherish; treasure; use sparingly",""
"","5","爱心","愛心","ài xīn","compassion",""
"","6","安慰","安慰","ān wèi","to comfort; to console",""
"","7","安装","安裝","ān zhuāng","install; erect; to fix; to mount",""
"","8","岸","岸","àn","bank; shore; beach; coast",""
"","9","暗","暗","àn","dark; gloomy; hidden; secret",""
"","10","熬夜","熬夜","áo yè","stay up very late or all night",""
"","11","把握","把握","bǎ wò","grasp; hold; certainty; assurance",""
"","12","摆","擺","bǎi","to put (on); arrange; to sway; pendulum",""
"","13","办理","辦理","bàn lǐ","to handle; to transact; to conduct",""
"","14","傍晚","傍晚","bàng wǎn","in the evening; when night falls",""
"","15","包裹","包裹","bāo guǒ","wrap up; bind up; package",""
"","16","包含","包含","bāo hán","contain; embody; include",""
"","17","包括","包括","bāo kuò","comprise; include; consist of",""
"","18","薄","薄","báo","thin; flimsy; weak (first two pronunciations)",""
"","19","宝贝","寶貝","bǎo bèi","treasure; precious things; darling; baby",""
"","20","宝贵","寶貴","bǎo guì","valuable; precious; value",""
"","21","保持","保持","bǎo chí","to keep; maintain; to hold",""
"","22","保存","保存","bǎo cún","conserve; preserve; to keep, to save a file in a computer",""
"","23","保留","保留","bǎo liú","to reserve; hold back; retain",""
"","24","保险","保險","bǎo xiǎn","insurance; insure; safe",""
"","25","报到","報到","bào dào","report for duty; to check in; register",""
"","26","报道","報道","bào dào","to report; news report",""
"","27","报告","報告","bào gào","to report; make known; inform; speech; lecture",""
"","28","报社","報社","bào shè","newspaper office",""
"","29","抱怨","抱怨","bào yuàn","complain; grumble",""
"","30","背","背","bēi","carry on one's back; to bear",""
"","31","悲观","悲觀","bēi guān","pessimistic",""
"","32","背景","背景","bèi jǐng","background",""
"","33","被子","被子","bèi zi","quilt; blanket",""
"","34","本科","本科","běn kē","undergraduate",""
"","35","本领","本領","běn lǐng","skill; ability; capability",""
"","36","本质","本質","běn zhì","essence; nature; innate character",""
"","37","比例","比例","bǐ lì","proportion; scale",""
"","38","彼此","彼此","bǐ cǐ","each other; one another",""
"","39","必然","必然","bì rán","inevitable; certain; necessary",""
"","40","必要","必要","bì yào","necessary; essential; indispensable",""
"","41","毕竟","畢竟","bì jìng","after all; overall; when all is said and done",""
"","42","避免","避免","bì miǎn","avoid; avert; prevent",""
"","43","编辑","編輯","biān jí","to edit; compile; editor",""
"","44","鞭炮","鞭炮","biān pào","firecracker; a long string of small firecrackers",""
"","45","便","便","biàn | pián","plain; convenient; excretion; formal equivalent to 就 | cheap",""
"","46","辩论","辯論","biàn lùn","argue; debate; argue over",""
"","47","标点","標點","biāo diǎn","punctuation; punctuation mark; punctuate",""
"","48","标志","標志","biāo zhì","sign; mark; signal; symbol",""
"","49","表达","表達","biǎo dá","to express; to voice; convey",""
"","50","表面","表面","biǎo miàn","surface; outside; face",""
"","51","表明","表明","biǎo míng","make clear; make known",""
"","52","表情","表情","biǎo qíng","(facial) expression; express one's feelings",""
"","53","表现","表現","biǎo xiàn","to show; to show off; display; performance",""
"","54","冰激凌","冰激淩","bīng jī líng","ice cream",""
"","55","病毒","病毒","bìng dú","virus",""
"","56","玻璃","玻璃","bō li","glass; nylon; plastic",""
"","57","播放","播放","bō fàng","broadcast; transmit",""
"","58","脖子","脖子","bó zi","neck",""
"","59","博物馆","博物館","bó wù guǎn","museum",""
"","60","补充","補充","bǔ chōng","replenish; to supplement; to complement",""
"","61","不安","不安","bù ān","uneasy; unstable; disturbed",""
"","62","不得了","不得了","bù dé liǎo","extremely; very; terribly; my god! (expression of surprise)",""
"","63","不断","不斷","bú duàn","unceasing; uninterrupted; continuously",""
"","64","不见得","不見得","bú jiàn dé","not necessarily; not likely",""
"","65","不耐烦","不耐煩","bú nài fán","impatience; impatient",""
"","66","不然","不然","bù rán","otherwise; not so",""
"","67","不如","不如","bù rú","not as good as; inferior to",""
"","68","不要紧","不要緊","bú yào jǐn","unimportant; not serious; it doesn't matter",""
"","69","不足","不足","bù zú","insufficient; not enough",""
"","70","布","布","bù","cloth; announce; to spread",""
"","71","步骤","步驟","bù zhòu","step; move; measure; procedure",""
"","72","部门","部門","bù mén","department; branch; section",""
"","73","财产","財産","cái chǎn","property; fortune",""
"","74","采访","采訪","cǎi fǎng","interview; gather news; hunt for and collect",""
"","75","采取","采取","cǎi qǔ","carry out or adopt; take(measures, policies, attitudes, etc.)",""
"","76","彩虹","彩虹","cǎi hóng","rainbow",""
"","77","踩","踩","cǎi","step upon; to tread; to stamp",""
"","78","参考","參考","cān kǎo","reference; consult",""
"","79","参与","參與","cān yù","participate (in sth.); attach oneself to",""
"","80","惭愧","慚愧","cán kuì","ashamed",""
"","81","操场","操場","cāo chǎng","playground; sports field",""
"","82","操心","操心","cāo xīn","worry about",""
"","83","册","冊","cè","book; (mw for books)",""
"","84","测验","測驗","cè yàn","test; exam; to test",""
"","85","曾经","曾經","céng jīng","once; (refers to something that happened previously)",""
"","86","叉子","叉子","chā zi","fork; cross",""
"","87","差距","差距","chā jù","disparity; gap; the difference (in distance; amount; progress; etc.)",""
"","88","插","插","chā","to insert; stick in; pierce",""
"","89","拆","拆","chāi","unravel; to tear; demolish",""
"","90","产品","産品","chǎn pǐn","product; goods; merchandise",""
"","91","产生","産生","chǎn shēng","to produce; emerge; to cause",""
"","92","长途","長途","cháng tú","long distance",""
"","93","常识","常識","cháng shí","common sense; general knowledge",""
"","94","抄","抄","chāo","to copy; plagiarize; search and confiscate",""
"","95","超级","超級","chāo jí","super; transcending; high grade",""
"","96","朝","朝","cháo","to face; towards; dynasty",""
"","97","潮湿","潮濕","cháo shī","damp; moist; humid",""
"","98","吵","吵","chǎo","to quarrel; make noise",""
"","99","吵架","吵架","chǎo jià","to quarrel; to squabble; bicker",""
"","100","炒","炒","chǎo","to stir-fry; saute",""
"","101","车库","車庫","chē kù","garage",""
"","102","车厢","車廂","chē xiāng","carriage; railroad car",""
"","103","彻底","徹底","chè dǐ","thorough; complete; completely",""
"","104","沉默","沈默","chén mò","silent; uncommunicative",""
"","105","趁","趁","chèn","avail oneself of; take advantage of (an opportunity or situation)",""
"","106","称","稱","chēng","weigh; to call; be called",""
"","107","称呼","稱呼","chēng hu","to call; address as; name",""
"","108","称赞","稱贊","chēng zàn","to praise; to acclaim",""
"","109","成分","成分","chéng fèn","ingredient; composition",""
"","110","成果","成果","chéng guǒ","result; achievement; gain",""
"","111","成就","成就","chéng jiù","accomplishment; achievement; success",""
"","112","成立","成立","chéng lì","establish; to set up",""
"","113","成人","成人","chéng rén","adult; to grow up; become full-grown",""
"","114","成熟","成熟","chéng shú","mature; ripe",""
"","115","成语","成語","chéng yǔ","idiom; proverb",""
"","116","成长","成長","chéng zhǎng","to mature; grow up",""
"","117","诚恳","誠懇","chéng kěn","honest; sincere",""
"","118","承担","承擔","chéng dān","undertake; assume (responsibility)",""
"","119","承认","承認","chéng rèn","to admit; concede; acknowledge",""
"","120","承受","承受","chéng shòu","to bear; support; endure; sustain",""
"","121","程度","程度","chéng dù","degree; extent; level",""
"","122","程序","程序","chéng xù","procedure; sequence; program",""
"","123","吃亏","吃虧","chī kuī","suffer losses; get the worst of",""
"","124","池塘","池塘","chí táng","pool; pond",""
"","125","迟早","遲早","chí zǎo","sooner or later",""
"","126","持续","持續","chí xù","continue; persist",""
"","127","尺子","尺子","chǐ zi","ruler (measuring instrument)",""
"","128","翅膀","翅膀","chì bǎng","wing",""
"","129","冲","沖","chōng","to rush; to clash; to rinse; thoroughfare",""
"","130","充电器","充電器","chōng diàn qì","battery charger",""
"","131","充分","充分","chōng fèn","full; abundant; ample",""
"","132","充满","充滿","chōng mǎn","brimming with; very full",""
"","133","重复","重複","chóng fù","to repeat; to duplicate",""
"","134","宠物","寵物","chǒng wù","a pet",""
"","135","抽屉","抽屜","chōu ti","drawer",""
"","136","抽象","抽象","chōu xiàng","abstract; abstraction",""
"","137","丑","醜","chǒu","ugly; disgraceful (2nd Earthly Branch)",""
"","138","臭","臭","chòu","stench; stink",""
"","139","出版","出版","chū bǎn","publish",""
"","140","出口","出口","chū kǒu","exit; speak; export",""
"","141","出色","出色","chū sè","remarkable; outstanding; excellent",""
"","142","出示","出示","chū shì","to show",""
"","143","出席","出席","chū xí","attend; be present; participate",""
"","144","初级","初級","chū jí","junior; primary",""
"","145","除非","除非","chú fēi","only if; unless",""
"","146","除夕","除夕","chú xī","Lunar New Year's Eve",""
"","147","处理","處理","chǔ lǐ","deal with; to process; sell at a discount; to treat (by a special process)",""
"","148","传播","傳播","chuán bō","propagate; to spread",""
"","149","传染","傳染","chuán rǎn","infect; be contagious",""
"","150","传说","傳說","chuán shuō","it is said; legend; pass on (a story)",""
"","151","传统","傳統","chuán tǒng","tradition; traditional",""
"","152","窗帘","窗簾","chuāng lián","window curtain",""
"","153","闯","闖","chuǎng","rush; break through; to temper oneself (by battling difficulties)",""
"","154","创造","創造","chuàng zào","create; bring about; creativity",""
"","155","吹","吹","chuī","to blow; to blast; to puff",""
"","156","词汇","詞彙","cí huì","vocabulary",""
"","157","辞职","辭職","cí zhí","resign from a position",""
"","158","此外","此外","cǐ wài","besides; in addition; moreover",""
"","159","次要","次要","cì yào","secondary; less important",""
"","160","刺激","刺激","cì jī","exciting; provoke; irritate",""
"","161","匆忙","匆忙","cōng máng","hasty; hurried",""
"","162","从此","從此","cóng cǐ","from now on; since then",""
"","163","从而","從而","cóng ér","thus; thereby; as a result",""
"","164","从前","從前","cóng qián","previously; formerly; in the past",""
"","165","从事","從事","cóng shì","go for; engage in; deal with",""
"","166","粗糙","粗糙","cū cāo","coarse",""
"","167","促进","促進","cù jìn","promote (an idea or cause); to advance",""
"","168","促使","促使","cù shǐ","to urge; impel; to cause; to push",""
"","169","醋","醋","cù","vinegar",""
"","170","催","催","cuī","to press; to urge; to hurry",""
"","171","存在","存在","cún zài","to exist; to be",""
"","172","措施","措施","cuò shī","measure; step (to be taken)",""
"","173","答应","答應","dā ying","to respond; to promise; to answer; agree",""
"","174","达到","達到","dá dào","achieve; attain; to reach",""
"","175","打工","打工","dǎ gōng","work a part time job; (regional) do manual labor; do odd jobs",""
"","176","打交道","打交道","dǎ jiāo dao","come into contact with; to deal with",""
"","177","打喷嚏","打噴嚏","dǎ pēn tì","to sneeze",""
"","178","打听","打聽","dǎ ting","ask about; inquire about",""
"","179","大方","大方","dà fang","generous; poise; (-fang1: expert; scholar)",""
"","180","大厦","大廈","dà shà","large building; edifice; mansion",""
"","181","大象","大象","dà xiàng","elephant",""
"","182","大型","大型","dà xíng","large-scale; wide-scale",""
"","183","呆","呆","dāi","stupid; foolish; blank; dumbstruck; to stay",""
"","184","代表","代表","dài biǎo","represent; to delegate",""
"","185","代替","代替","dài tì","to replace",""
"","186","贷款","貸款","dài kuǎn","(bank) loan; provide a loan",""
"","187","待遇","待遇","dài yù","treatment; pay; wage; salary",""
"","188","担任","擔任","dān rèn","hold the post of; serve as",""
"","189","单纯","單純","dān chún","simple; pure; merely",""
"","190","单调","單調","dān diào","monotonous; dull",""
"","191","单独","單獨","dān dú","alone",""
"","192","单位","單位","dān wèi","unit; work unit",""
"","193","单元","單元","dān yuán","unit; entrance number; staircase (for residential buildings)",""
"","194","耽误","耽誤","dān wu","to delay; waste time",""
"","195","胆小鬼","膽小鬼","dǎn xiǎo guǐ","coward",""
"","196","淡","淡","dàn","diluted; weak; thin",""
"","197","当地","當地","dāng dì","local",""
"","198","当心","當心","dāng xīn","take care; watch out",""
"","199","挡","擋","dǎng","to block; hinder; gear; equipment",""
"","200","导演","導演","dǎo yǎn","to direct; director",""
"","201","导致","導致","dǎo zhì","lead to; bring about; to cause",""
"","202","岛屿","島嶼","dǎo yǔ","islands",""
"","203","倒霉","倒黴","dǎo méi","have bad luck; be out of luck",""
"","204","到达","到達","dào dá","to reach; arrive",""
"","205","道德","道德","dào dé","morals; morality; ethics",""
"","206","道理","道理","dào lǐ","reason; sense; argument",""
"","207","登记","登記","dēng jì","register (one's name); check in; enroll",""
"","208","等待","等待","děng dài","to wait (for); expect",""
"","209","等于","等于","děng yú","(Mathematics) equal to",""
"","210","滴","滴","dī","to drip; drop; (mw for drops of liquid)",""
"","211","的确","的確","dí què","really; indeed",""
"","212","敌人","敵人","dí rén","enemy",""
"","213","地道","地道","dì dao","authentic; genuine; (-dào: tunnel)",""
"","214","地理","地理","dì lǐ","geography",""
"","215","地区","地區","dì qū","an area; a region; a district",""
"","216","地毯","地毯","dì tǎn","carpet; rug",""
"","217","地位","地位","dì wèi","position; status",""
"","218","地震","地震","dì zhèn","earthquake",""
"","219","递","遞","dì","hand over; to pass; to give",""
"","220","点心","點心","diǎn xin","dim sum; light refreshments; snacks",""
"","221","电池","電池","diàn chí","battery",""
"","222","电台","電台","diàn tái","transceiver; broadcasting station",""
"","223","钓","釣","diào","to fish",""
"","224","顶","頂","dǐng","top; roof; carry on one's head; prop up; to butt; (mw for headwear, i.e. hats)",""
"","225","动画片","動畫片","dòng huà piàn","animated film",""
"","226","冻","凍","dòng","to freeze",""
"","227","洞","洞","dòng","cave; hole",""
"","228","豆腐","豆腐","dòu fu","tofu; bean curd",""
"","229","逗","逗","dòu","to tease; amuse; to stay; to stop; funny",""
"","230","独立","獨立","dú lì","independent",""
"","231","独特","獨特","dú tè","unique; distinctive",""
"","232","度过","度過","dù guò","spend; to pass",""
"","233","断","斷","duàn","to break; decide; absolutely (usually negative)",""
"","234","堆","堆","duī","pile; heap; stack; crowd",""
"","235","对比","對比","duì bǐ","compare; to contrast; comparison",""
"","236","对待","對待","duì dài","to treat",""
"","237","对方","對方","duì fāng","counterpart; the other party involved",""
"","238","对手","對手","duì shǒu","opponent; adversary; match",""
"","239","对象","對象","duì xiàng","target; object; partner; boyfriend or girlfriend",""
"","240","兑换","兌換","duì huàn","to exchange; to convert (currencies)",""
"","241","吨","噸","dūn","ton",""
"","242","蹲","蹲","dūn","to crouch; to squat",""
"","243","顿","頓","dùn","pause; arrange; stamp feet; suddenly; (mw for meals)",""
"","244","多亏","多虧","duō kuī","thanks to; luckily",""
