"","88","崩溃","崩潰","bēng kuì","collapse; crumble; fall apart",""
"","89","甭","甭","béng","need not; (contraction of 不 and 用)",""
"","90","迸发","迸發","bèng fā","burst forth; burst out",""
"","91","蹦","蹦","bèng","jump; bounce; hop",""
"","92","逼迫","逼迫","bī pò","to force; compel; coerce",""
"","93","鼻涕","鼻涕","bí tì","nasal mucus; snivel",""
"","94","比方","比方","bǐ fang","instance; analogy; example",""
"","95","比喻","比喻","bǐ yù","metaphor; analogy; figure of speech",""
"","96","比重","比重","bǐ zhòng","proportion; specific gravity",""
"","97","鄙视","鄙視","bǐ shì","despise; disdain; look down upon",""
"","98","闭塞","閉塞","bì sè","stop up; shelter from; hard to get to; unenlightened",""
"","99","弊病","弊病","bì bìng","malady; evil; malpractice; drawback",""
"","100","弊端","弊端","bì duān","malpractice; abuse; corrupt practice",""
"","101","臂","臂","bì","arm",""
"","102","边疆","邊疆","biān jiāng","border area; borderland; frontier; frontier region",""
"","103","边界","邊界","biān jiè","boundary; border",""
"","104","边境","邊境","biān jìng","frontier",""
"","105","边缘","邊緣","biān yuán","edge; fringe; verge; brink",""
"","106","编织","編織","biān zhī","to weave; to knit; to plait; to braid; to crochet",""
"","107","鞭策","鞭策","biān cè","spur on; urge on",""
"","108","贬低","貶低","biǎn dī","to belittle; depreciate; disparage",""
"","109","贬义","貶義","biǎn yì","negative connotation; derogatory sense",""
"","110","扁","扁","biǎn","flat",""
"","111","变故","變故","biàn gù","unforeseen event; accident",""
"","112","变迁","變遷","biàn qiān","changes; vicissitude",""
"","113","变质","變質","biàn zhì","go bad; deteriorate; metamorphism",""
"","114","便利","便利","biàn lì","convenient; easy; facilitate",""
"","115","便条","便條","biàn tiáo","informal note",""
"","116","便于","便于","biàn yú","be easy; be convenient for",""
"","117","遍布","遍布","biàn bù","to cover the whole (area); found everywhere; spread all over",""
"","118","辨认","辨認","biàn rèn","distinguish; identify; recognize",""
"","119","辩护","辯護","biàn hù","speak in defense of; argue in favor of; defend",""
